town,wharehouse,product,a,b,f,k,d,s,prix,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,Coeff. Dir.,Constante,Fréquence,Amplitude,Décalage,Ecart-type,,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris,Wharehouse1,nectar,0.4,21,1,0.2,2,1,1100,21,20,16,15,14,18,22,21,17,14,16,18,22,23,19,16,17,19,24,22,21,16,16,18,23,24,20,17,17,22,23,24,20,18,16,19,24,26,21,18,19,22,25,26,20,18,20,22
Paris,Wharehouse1,cordial,0.4,16,1,0.2,2,1,1300,20,20,17,15,16,20,23,19,22,15,18,17,22,23,19,18,15,20,22,22,20,17,16,18,24,23,18,18,15,22,25,25,22,19,19,21,27,26,21,18,17,22,25,25,23,18,20,23
Rauma,Wharehouse2,nectar,0,22,0,0.2,0,1,700,20,23,20,22,22,22,23,24,24,24,21,24,23,24,26,24,25,22,23,26,28,24,24,25,23,26,24,26,26,25,27,26,27,26,28,27,25,28,31,28,27,28,28,27,29,27,28,31
Rauma,Wharehouse2,cordial,0,15,0,0.2,0,1,1300,14,15,15,19,17,16,17,18,19,17,18,18,17,19,19,17,19,18,21,18,20,19,17,22,15,20,21,20,24,21,20,21,22,21,21,23,22,21,23,25,23,23,22,25,23,22,22,22
Madrid,Wharehouse3,nectar,0,22,-1,0.2,3,1,1000,24,24,20,18,24,27,28,30,29,29,27,27,20,22,21,20,23,24,27,30,30,31,28,27,20,21,20,21,21,24,26,30,29,29,29,28,22,20,20,20,20,26,26,31,29,31,27,23
Madrid,Wharehouse3,cordial,0,15,-1,0.2,0,1,1600,22,21,19,22,24,25,29,30,31,28,28,24,24,21,18,23,23,26,28,30,29,30,28,25,20,23,17,18,21,22,27,30,27,30,27,27,22,20,22,24,21,24,29,30,29,30,28,25
Milan,Wharehouse4,nectar,0.4,22,-0.5,0.2,0,1,600,13,14,15,17,15,11,13,10,10,11,12,16,13,16,18,15,15,14,11,13,12,13,14,14,17,19,18,17,17,15,16,13,13,16,15,17,17,19,18,21,18,13,17,16,16,14,14,19
